h,ne,tn,ti,te
60.000000,nan,237.033005,237.033005,237.033005
61.000000,nan,234.619385,234.619385,234.619385
62.000000,nan,232.298569,232.298569,232.298569
63.000000,nan,230.061615,230.061615,230.061615
64.000000,nan,227.900116,227.900116,227.900116
65.000000,0.063358,225.806381,225.806381,225.806381
66.000000,0.072272,223.773071,223.773071,223.773071
67.000000,0.081428,221.793381,221.793381,221.793381
68.000000,0.090685,219.861038,219.861038,219.861038
69.000000,0.099901,217.970047,217.970047,217.970047
70.000000,0.108945,216.114838,216.114838,216.114838
71.000000,0.117696,214.290207,214.290207,214.290207
72.000000,0.126056,212.491226,212.491226,212.491226
73.000000,0.133945,210.762054,210.762054,210.762054
74.000000,0.141310,209.365631,209.365631,209.365631
75.000000,0.148125,208.285797,208.285797,208.285797
76.000000,0.154388,207.460419,207.460419,207.460419
77.000000,0.160121,206.831329,206.831329,206.831329
78.000000,0.165369,206.343109,206.343109,206.343109
79.000000,0.170198,205.942169,205.942169,205.942169
80.000000,0.174690,205.576218,205.576218,205.576218
81.000000,0.178944,205.193878,205.193878,205.193878
82.000000,0.183382,204.744568,204.744568,204.744568
83.000000,0.191285,204.178879,204.178879,204.178879
84.000000,0.208228,203.448853,203.448853,203.448853
85.000000,0.242554,202.508713,202.508713,202.508713
86.000000,0.309520,201.315643,201.315643,201.315643
87.000000,0.404353,199.830826,199.830826,199.830826
88.000000,0.516233,198.020538,198.020538,198.020538
89.000000,0.644773,195.857117,195.857117,195.857117
90.000000,0.788693,193.320007,193.320007,193.320007
91.000000,0.945819,190.432220,190.432220,190.432220
92.000000,1.113184,187.357819,187.357819,187.357819
93.000000,1.287187,184.277664,184.277664,184.277664
94.000000,1.463820,181.350555,181.350555,181.350555
95.000000,1.638924,178.715652,178.715652,178.715652
96.000000,1.808451,176.496414,176.496414,176.496414
97.000000,1.968708,174.806717,174.806717,174.806717
98.000000,2.116557,173.757568,173.757568,173.757568
99.000000,2.249560,173.465591,173.465591,173.465591
100.000000,2.366065,174.063034,174.063034,174.063034
101.000000,2.465227,175.667969,175.667969,175.667969
102.000000,2.546977,178.263306,178.263306,178.263306
103.000000,2.611946,181.814774,181.814774,181.814774
104.000000,2.661364,186.306122,186.306122,186.306122
105.000000,2.696933,191.733276,191.733276,191.733276
106.000000,2.720711,198.099136,198.099136,198.099136
107.000000,2.734989,205.407593,205.407593,205.407593
108.000000,2.742184,213.656433,213.656433,213.656433
109.000000,2.744754,222.828690,222.828690,222.828690
110.000000,2.745102,232.881226,232.881226,232.881226
