h,ne,tn,ti,te
307.000000,2.124987,677.871216,838.987427,1109.378174
308.000000,2.120438,677.891846,840.683228,1108.725708
309.000000,2.115811,677.911804,842.378906,1108.073486
310.000000,2.111109,677.931152,844.074707,1107.421265
311.000000,2.106334,677.949829,845.770386,1106.769531
312.000000,2.101488,677.967957,847.466187,1106.117798
313.000000,2.096573,677.985535,849.161865,1105.465942
314.000000,2.091592,678.002502,850.857666,1104.814697
315.000000,2.086546,678.018982,852.553345,1104.163696
316.000000,2.081437,678.034912,854.249146,1103.513184
317.000000,2.076267,678.050354,855.944824,1102.863159
318.000000,2.071039,678.065308,857.640625,1102.213989
319.000000,2.065754,678.079773,859.336304,1101.565308
320.000000,2.060414,678.093811,861.032104,1100.917603
321.000000,2.055020,678.107361,862.727783,1100.270996
322.000000,2.049576,678.120544,864.423584,1099.625854
323.000000,2.044081,678.133301,866.119263,1098.982300
324.000000,2.038539,678.145630,867.815002,1098.340698
325.000000,2.032951,678.157532,869.510681,1097.702026
326.000000,2.027319,678.169128,871.206482,1097.066040
327.000000,2.021644,678.180359,872.902161,1096.433838
328.000000,2.015929,678.191223,874.597961,1095.806152
329.000000,2.010174,678.201721,876.293640,1095.183838
330.000000,2.004381,678.211914,877.989441,1094.568481
331.000000,1.998553,678.221741,879.685120,1093.960815
332.000000,1.992690,678.231323,881.380920,1093.363525
333.000000,1.986794,678.240540,883.076599,1092.777832
334.000000,1.980867,678.249512,884.772400,1092.206421
335.000000,1.974909,678.258240,886.468018,1091.652222
336.000000,1.968924,678.266602,888.163818,1091.118774
337.000000,1.962911,678.274780,889.859497,1090.610107
338.000000,1.956872,678.282654,891.555298,1090.131104
339.000000,1.950809,678.290283,893.250977,1089.686646
340.000000,1.944723,678.297729,894.946716,1089.283691
341.000000,1.938616,678.304871,896.642395,1088.928345
342.000000,1.932488,678.311829,898.338196,1088.628906
343.000000,1.926341,678.318542,900.033875,1088.393433
344.000000,1.920176,678.325073,901.729614,1088.230225
345.000000,1.913994,678.331421,903.425293,1088.148804
346.000000,1.907797,678.337524,905.121033,1088.157104
347.000000,1.901586,678.343445,906.816711,1088.263184
348.000000,1.895361,678.349182,908.512451,1088.473389
349.000000,1.889125,678.354736,910.208130,1088.793335
350.000000,1.882877,678.360107,911.903870,1089.226196
351.000000,1.876620,678.365356,913.599487,1089.773804
352.000000,1.870354,678.370422,915.295288,1090.433838
353.000000,1.864080,678.375305,916.990906,1091.203613
354.000000,1.857799,678.380066,918.686646,1092.077515
355.000000,1.851512,678.384644,920.382263,1093.049438
356.000000,1.845221,678.389099,922.078003,1094.111450
357.000000,1.838925,678.393433,923.773560,1095.254272
358.000000,1.832626,678.397583,925.469299,1096.469849
359.000000,1.826325,678.401672,927.164856,1097.749634
360.000000,1.820023,678.405579,928.860596,1099.084961
361.000000,1.813720,678.409363,930.556152,1100.468262
362.000000,1.807417,678.413086,932.251770,1101.892578
363.000000,1.801116,678.416626,933.947327,1103.351685
364.000000,1.794816,678.420105,935.642944,1104.840576
365.000000,1.788520,678.423462,937.338501,1106.354126
366.000000,1.782226,678.426697,939.034058,1107.888672
367.000000,1.775936,678.429810,940.729553,1109.440186
368.000000,1.769652,678.432861,942.425110,1111.005981
369.000000,1.763373,678.435852,944.120544,1112.583740
370.000000,1.757100,678.438721,945.816040,1114.171021
371.000000,1.750833,678.441467,947.511414,1115.766968
372.000000,1.744575,678.444153,949.206848,1117.369263
373.000000,1.738324,678.446777,950.902100,1118.977295
374.000000,1.732081,678.449280,952.597473,1120.589355
375.000000,1.725849,678.451721,954.292664,1122.205444
